Date,Open,High,Low,Close ,Adj Close ,Volume
14-Aug-25,14.66,15.39,14.57,14.83,14.83,-
13-Aug-25,14.62,14.81,14.3,14.49,14.49,-
12-Aug-25,16.09,16.56,14.66,14.73,14.73,-
11-Aug-25,15.81,16.36,15.52,16.25,16.25,-
8-Aug-25,16.48,16.52,15.15,15.15,15.15,-
7-Aug-25,16.41,17.64,15.98,16.57,16.57,-
6-Aug-25,17.22,17.88,16.56,16.77,16.77,-
5-Aug-25,17.21,18.94,17.11,17.85,17.85,-
4-Aug-25,19.56,19.58,17.48,17.52,17.52,-
1-Aug-25,17.4,21.9,17.39,20.38,20.38,-
31-Jul-25,14.99,17.17,14.74,16.72,16.72,-
30-Jul-25,15.87,17.27,15.44,15.48,15.48,-
29-Jul-25,14.95,16.12,14.7,15.98,15.98,-
28-Jul-25,15.15,15.54,15,15.03,15.03,-
25-Jul-25,15.33,15.39,14.92,14.93,14.93,-
24-Jul-25,15.39,15.54,14.95,15.39,15.39,-
23-Jul-25,16.23,16.32,15.32,15.37,15.37,-
22-Jul-25,16.75,17.48,16.43,16.5,16.5,-
21-Jul-25,16.87,16.99,16.3,16.65,16.65,-
18-Jul-25,16.43,16.81,16.28,16.41,16.41,-
17-Jul-25,17.16,17.37,16.48,16.52,16.52,-
16-Jul-25,17.66,19.48,16.69,17.16,17.16,-
15-Jul-25,16.89,17.39,16.56,17.38,17.38,-
14-Jul-25,17.73,17.85,16.91,17.2,17.2,-
11-Jul-25,16.41,17.24,15.98,16.4,16.4,-
10-Jul-25,16.23,16.24,15.7,15.78,15.78,-
9-Jul-25,16.76,16.76,15.76,15.94,15.94,-
8-Jul-25,17.41,17.44,16.54,16.81,16.81,-
7-Jul-25,17.83,18.5,17.51,17.79,17.79,-
3-Jul-25,16.65,16.83,16.14,16.38,16.38,-
2-Jul-25,16.75,17.37,16.54,16.64,16.64,-
1-Jul-25,16.98,17.48,16.51,16.83,16.83,-
30-Jun-25,17.19,17.43,16.55,16.73,16.73,-
27-Jun-25,16.31,17.29,16.12,16.32,16.32,-
26-Jun-25,16.67,16.78,16.11,16.59,16.59,-
25-Jun-25,17.28,17.51,16.68,16.76,16.76,-
24-Jun-25,18.19,18.72,17.33,17.48,17.48,-
23-Jun-25,21.15,22.51,19.82,19.83,19.83,-
20-Jun-25,20.74,21.07,19.11,20.62,20.62,-
18-Jun-25,20.9,21.58,19.59,20.14,20.14,-
17-Jun-25,20.53,21.79,19.55,21.6,21.6,-
16-Jun-25,19.78,20.22,18.67,19.11,19.11,-
13-Jun-25,21.76,22,18.88,20.82,20.82,-
12-Jun-25,17.87,18.87,17.43,18.02,18.02,-
11-Jun-25,17.04,18.09,16.23,17.26,17.26,-
10-Jun-25,17.5,17.99,16.68,16.95,16.95,-
9-Jun-25,17.69,17.72,16.82,17.16,17.16,-
6-Jun-25,18.16,18.35,16.65,16.77,16.77,-
5-Jun-25,17.68,18.8,17.08,18.48,18.48,-
4-Jun-25,17.68,18.07,17.41,17.61,17.61,-
3-Jun-25,18.83,19.21,17.64,17.69,17.69,-
2-Jun-25,19.81,20.45,18.36,18.36,18.36,-
30-May-25,19.61,20.55,18.57,18.57,18.57,-
29-May-25,18.25,20.2,18.11,19.18,19.18,-
28-May-25,19.21,19.43,18.68,19.31,19.31,-
27-May-25,20.63,21.01,18.95,18.96,18.96,-
23-May-25,20.14,25.53,19.83,22.29,22.29,-
22-May-25,20.62,22.07,19.64,20.28,20.28,-
21-May-25,18.77,21.05,17.77,20.87,20.87,-
20-May-25,18.46,18.68,17.7,18.09,18.09,-
19-May-25,19.84,19.92,17.92,18.14,18.14,-
16-May-25,17.96,17.96,17.15,17.24,17.24,-
15-May-25,19.19,19.38,17.77,17.83,17.83,-
14-May-25,18.1,18.82,18.06,18.62,18.62,-
13-May-25,18.69,18.85,17.65,18.22,18.22,-
12-May-25,19.84,20.44,18.14,18.39,18.39,-
9-May-25,22.4,22.82,21.83,21.9,21.9,-
8-May-25,22.84,23.61,21.88,22.48,22.48,-
7-May-25,24.56,25.62,23.29,23.55,23.55,-
6-May-25,23.97,25.11,23.9,24.76,24.76,-
5-May-25,24.25,24.63,22.81,23.64,23.64,-
2-May-25,23.63,24.32,22.34,22.68,22.68,-
1-May-25,23.94,25.18,23.3,24.6,24.6,-
30-Apr-25,24.35,28.17,24.23,24.7,24.7,-
29-Apr-25,24.76,25.99,23.76,24.17,24.17,-
28-Apr-25,25.75,26.93,24.7,25.15,25.15,-
25-Apr-25,26.22,27.2,24.84,24.84,24.84,-
24-Apr-25,28.69,29.66,26.36,26.47,26.47,-
23-Apr-25,28.75,30.29,27.11,28.45,28.45,-
22-Apr-25,32.61,32.68,30.08,30.57,30.57,-
21-Apr-25,32.75,35.75,31.79,33.82,33.82,-
17-Apr-25,30.79,32.55,29.57,29.65,29.65,-
16-Apr-25,33.24,34.96,29.48,32.64,32.64,-
15-Apr-25,30.01,31.45,28.29,30.12,30.12,-
